time,uniswap_min_price,uniswap_max_price,uniswap_volume,out_of_band_value
2025-09-30 23:00:00.000 UTC,1.0002479000371578,1.000468928920222,535495.5930466473,
2025-09-30 22:00:00.000 UTC,1.0002465570416255,1.0004484710597636,248523.1525942009,
2025-09-30 21:00:00.000 UTC,1.0002380331208989,1.0004446405576575,230433.29753049446,
2025-09-30 20:00:00.000 UTC,1.0002306920762287,1.000439960562954,222505.17248940963,
2025-09-30 19:00:00.000 UTC,1.0001912903225807,1.000439591283297,1221472.1866126992,
2025-09-30 18:00:00.000 UTC,1.0001831546033684,1.0004036368468214,871455.5669864626,
2025-09-30 17:00:00.000 UTC,1.0001645859329107,1.0004028438379329,7225111.712954333,
2025-09-30 16:00:00.000 UTC,1.0001561652700075,1.0005709807998027,6728628.538528765,
2025-09-30 15:00:00.000 UTC,1.000319506676509,1.000660623600345,3781791.396188743,
2025-09-30 14:00:00.000 UTC,1.000439600219216,1.000777517839285,1998524.3096556808,
2025-09-30 13:00:00.000 UTC,1.0005719790270913,1.0007760450800398,246175.75453262968,
2025-09-30 12:00:00.000 UTC,1.000568106,1.0007868067343684,543000.6756004334,
2025-09-30 11:00:00.000 UTC,1.0005659124657824,1.0008040448149629,640184.7160349186,
2025-09-30 10:00:00.000 UTC,1.0006027488653555,1.0008326109118186,1525547.2128879284,
2025-09-30 09:00:00.000 UTC,1.0005949642053895,1.0008105281515831,1015470.0503879508,
2025-09-30 08:00:00.000 UTC,1.0005579054497291,1.0007964671884708,900484.6698023019,
2025-09-30 07:00:00.000 UTC,1.0005754874415587,1.0008375267033343,1210653.7168905246,
2025-09-30 06:00:00.000 UTC,1.0006271633466135,1.000894913823482,1043823.9347653047,
2025-09-30 05:00:00.000 UTC,1.0006928764697813,1.0010028207853066,3681381.9341251384,1790772.3946939
2025-09-30 04:00:00.000 UTC,1.0006961138461539,1.0009208953506659,311301.7295815777,
2025-09-30 03:00:00.000 UTC,1.0006982669216429,1.0109618236310576,4931230.549139641,4717117.743761944
2025-09-30 02:00:00.000 UTC,1.000695217424448,1.000962285102406,896880.3897870983,
2025-09-30 01:00:00.000 UTC,1.0007579770103767,1.0009775378487396,536483.3782978762,
2025-09-30 00:00:00.000 UTC,1.0006472921236291,1.0010280837373242,1932666.330736271,181261.21391083408
2025-09-29 23:00:00.000 UTC,1.000640595087446,1.0008473944692482,146315.52408745332,
2025-09-29 22:00:00.000 UTC,1.00062664,1.0008408338074664,391567.31220050727,
2025-09-29 21:00:00.000 UTC,1.0005980099009901,1.0008267930219834,448250.6062749536,
2025-09-29 20:00:00.000 UTC,1.000595679807958,1.0007990607703428,227722.93673499208,
2025-09-29 19:00:00.000 UTC,1.0005988790807627,1.0008139953829114,400012.619957497,
2025-09-29 18:00:00.000 UTC,1.0006060765302993,1.0008258090862348,480137.0982310821,
2025-09-29 17:00:00.000 UTC,1.0005321381381382,1.0008355942109457,2617977.6432756204,
2025-09-29 16:00:00.000 UTC,1.0005189107810448,1.0007723002909734,1062806.0552958562,
2025-09-29 15:00:00.000 UTC,1.0004773777065474,1.0007122680255276,1579278.4369080176,
2025-09-29 14:00:00.000 UTC,1.0003704160626468,1.0006905264978099,3896470.044004976,
2025-09-29 13:00:00.000 UTC,1.0003652040781992,1.0005945484859318,1709301.8757960307,
2025-09-29 12:00:00.000 UTC,1.0003208446,1.0005953023608083,2897627.147262307,
2025-09-29 11:00:00.000 UTC,1.00034485392817,1.0005474482914871,207601.96912718203,
2025-09-29 10:00:00.000 UTC,1.000346045816733,1.0005524812169018,249804.9345429309,
2025-09-29 09:00:00.000 UTC,1.00035008,1.0005929004922283,1493023.7831631089,
2025-09-29 08:00:00.000 UTC,1.0003900222143087,1.0006303971502046,1051506.6437474072,
2025-09-29 07:00:00.000 UTC,1.0004253802514933,1.0006691419739606,877474.0360242118,
2025-09-29 06:00:00.000 UTC,1.0004549219551344,1.0006709261441975,698810.8495253035,
2025-09-29 05:00:00.000 UTC,1.0004683812594828,1.0010552233556103,191075.10146671804,0.0028490031656700668
2025-09-29 04:00:00.000 UTC,1.0004742064971048,1.0006924702755324,336572.4080885048,
2025-09-29 03:00:00.000 UTC,1.000480225176307,1.0007008313238666,990408.6252812335,
2025-09-29 02:00:00.000 UTC,1.000483988012888,1.000700578099806,340320.561441446,
2025-09-29 01:00:00.000 UTC,1.0004958768768768,1.000707478929162,341949.379883896,
2025-09-29 00:00:00.000 UTC,1.0004988670460329,1.0007115842762502,1863997.295907052,
